Category,Object
Unspecified,Object_02840
Oxidizing,Object_07144
Toxic,Object_13481
Food,Object_10420
Explosive,Object_05524
Explosive,Object_22296
Toxic,Object_18467
Fragile,Object_28546
Flammable,Object_24488
Unspecified,Object_07784
Radioactive,Object_02819
Food,Object_03802
Oxidizing,Object_09683
Toxic,Object_24085
Food,Object_23955
Corrosive,Object_04002
Corrosive,Object_10359
Unspecified,Object_01166
Pressurized,Object_02765
Corrosive,Object_09389
Radioactive,Object_03279
Unspecified,Object_23789
Unspecified,Object_26467
Corrosive,Object_20885
Unspecified,Object_23651
Unspecified,Object_28570
Radioactive,Object_01360
Pressurized,Object_01516
Food,Object_15304
Corrosive,Object_23370
Fragile,Object_07517
Corrosive,Object_21636
Fragile,Object_15892
Explosive,Object_01082
Pressurized,Object_02978
Corrosive,Object_10174
Fragile,Object_06609
Fragile,Object_07473
Unspecified,Object_28709
Pressurized,Object_19059
Radioactive,Object_19198
Unspecified,Object_15505
Unspecified,Object_15887
Pressurized,Object_01448
Unspecified,Object_27327
Fragile,Object_15320
Corrosive,Object_01846
Food,Object_21166
Toxic,Object_00509
Unspecified,Object_28485
Food,Object_24990
Corrosive,Object_19126
Explosive,Object_14513
Corrosive,Object_09282
Explosive,Object_05354
Toxic,Object_02204
Fragile,Object_28229
Explosive,Object_29119
Radioactive,Object_03436
Flammable,Object_10585
Fragile,Object_06968
Fragile,Object_18736
Flammable,Object_29895
Oxidizing,Object_29086
Fragile,Object_28162
Radioactive,Object_20328
Oxidizing,Object_17458
Explosive,Object_19313
Pressurized,Object_00093
Flammable,Object_30102
Explosive,Object_15247
Food,Object_28144
Fragile,Object_26388
Explosive,Object_02383
Toxic,Object_20186
Pressurized,Object_27293
Toxic,Object_08876
Food,Object_08119
Pressurized,Object_07140
Corrosive,Object_09839
Oxidizing,Object_28575
Unspecified,Object_12261
Flammable,Object_28929
Pressurized,Object_09739
Radioactive,Object_07983
Corrosive,Object_23841
Explosive,Object_13766
Oxidizing,Object_10248
Toxic,Object_12604
Corrosive,Object_09287
Unspecified,Object_24413
Unspecified,Object_05123
Fragile,Object_09001
Food,Object_22729
Toxic,Object_21378
Unspecified,Object_02830
Radioactive,Object_21975
Flammable,Object_15093
Oxidizing,Object_17605
Toxic,Object_21248
Oxidizing,Object_22914
Oxidizing,Object_06158
Fragile,Object_00593
Explosive,Object_21565
Flammable,Object_21264
Oxidizing,Object_15573
Radioactive,Object_15588
Explosive,Object_00901
Oxidizing,Object_00036
Corrosive,Object_00322
Fragile,Object_14463
Fragile,Object_05300
Explosive,Object_10216
Unspecified,Object_03243
Corrosive,Object_26106
Toxic,Object_18435
Toxic,Object_05357
Unspecified,Object_10610
Food,Object_06890
Food,Object_28059
Food,Object_06994
Radioactive,Object_30033
Oxidizing,Object_18507
Pressurized,Object_10422
Pressurized,Object_05950
Food,Object_29074
Toxic,Object_25442
Radioactive,Object_25721
Flammable,Object_30184
Flammable,Object_20119
Corrosive,Object_17095
Fragile,Object_01079
Toxic,Object_25977
Radioactive,Object_06283
Radioactive,Object_18778
Toxic,Object_04697
Flammable,Object_13157
Pressurized,Object_14677
Toxic,Object_25263
Toxic,Object_13182
Oxidizing,Object_24831
Oxidizing,Object_24194
Pressurized,Object_17284
Fragile,Object_09836
Pressurized,Object_02849
Food,Object_00066
Corrosive,Object_20527
Food,Object_26758
Food,Object_16775
Food,Object_02538
Oxidizing,Object_19426
Oxidizing,Object_04232
Explosive,Object_06999
Flammable,Object_25802
Toxic,Object_06192
Flammable,Object_07097
Flammable,Object_01398
Explosive,Object_05214
Pressurized,Object_11876
Explosive,Object_22327
Oxidizing,Object_13417
Unspecified,Object_29822
Corrosive,Object_22659
Explosive,Object_22322
Toxic,Object_18312
Flammable,Object_18626
Corrosive,Object_10648
Flammable,Object_00624
Oxidizing,Object_25101
Toxic,Object_09749
Explosive,Object_23239
Pressurized,Object_19356
Explosive,Object_17261
Radioactive,Object_01158
Oxidizing,Object_02882
Oxidizing,Object_28716
Corrosive,Object_27606
Corrosive,Object_30039
Food,Object_21362
Explosive,Object_13682
Explosive,Object_12927
Unspecified,Object_04874
Fragile,Object_14870
Oxidizing,Object_25327
Fragile,Object_06566
Fragile,Object_17227
Radioactive,Object_15720
Unspecified,Object_09202
Pressurized,Object_19264
Explosive,Object_16167
Toxic,Object_01905
Radioactive,Object_28425
Radioactive,Object_08105
Flammable,Object_05953
Toxic,Object_29592
Fragile,Object_29982
Fragile,Object_17799
Corrosive,Object_11228
Toxic,Object_07161
Flammable,Object_05645
Radioactive,Object_14065
Corrosive,Object_28624
Food,Object_02283
Corrosive,Object_09738
Pressurized,Object_29533
Corrosive,Object_03693
Explosive,Object_10933
Radioactive,Object_09677
Explosive,Object_24706
Pressurized,Object_07403
Food,Object_28451
Explosive,Object_03909
Food,Object_05828
Toxic,Object_01690
Flammable,Object_17929
Oxidizing,Object_21464
Explosive,Object_19712
Unspecified,Object_15901
Pressurized,Object_14070
Radioactive,Object_00211
Pressurized,Object_12674
Radioactive,Object_01732
Toxic,Object_03641
Unspecified,Object_29506
Unspecified,Object_28404
Corrosive,Object_18140
Pressurized,Object_28188
Food,Object_14844
Radioactive,Object_16560
Radioactive,Object_22259
Explosive,Object_14413
Radioactive,Object_02528
Flammable,Object_22670
Radioactive,Object_24018
Toxic,Object_18479
Toxic,Object_02143
Unspecified,Object_02647
Toxic,Object_06345
Fragile,Object_24443
Toxic,Object_06870
Explosive,Object_10455
Unspecified,Object_11545
Radioactive,Object_13930
Unspecified,Object_21396
Fragile,Object_07698
Pressurized,Object_02508
Explosive,Object_28751
Corrosive,Object_10817
Food,Object_05796
Food,Object_21651
Radioactive,Object_14292
Corrosive,Object_22606
Flammable,Object_03164
Corrosive,Object_04389
Flammable,Object_01216
Radioactive,Object_21603
Oxidizing,Object_09010
Toxic,Object_10592
Radioactive,Object_07401
Fragile,Object_24608
Corrosive,Object_02988
Unspecified,Object_26373
Oxidizing,Object_06904
Oxidizing,Object_21823
Oxidizing,Object_27584
Fragile,Object_05804
Fragile,Object_02842
Fragile,Object_12495
Oxidizing,Object_20123
Unspecified,Object_00899
Fragile,Object_10000
Fragile,Object_13672
Explosive,Object_06139
Corrosive,Object_28267
Flammable,Object_21890
Food,Object_20093
Explosive,Object_23354
Flammable,Object_08082
Fragile,Object_09206
Radioactive,Object_05771
Flammable,Object_27209
Flammable,Object_08181
Flammable,Object_30000
Oxidizing,Object_25003
Radioactive,Object_10434
Flammable,Object_27380
Food,Object_22739
Pressurized,Object_06638
Explosive,Object_25868
Toxic,Object_23211
Corrosive,Object_08235
Oxidizing,Object_19312
Unspecified,Object_19466
Food,Object_10532
Flammable,Object_01062
Food,Object_00037
Corrosive,Object_28006
Fragile,Object_18843
Fragile,Object_04649
Pressurized,Object_25010
Pressurized,Object_09844
Food,Object_13475
Flammable,Object_03847
Pressurized,Object_20796
Unspecified,Object_03516
Oxidizing,Object_08002
Radioactive,Object_16990
Radioactive,Object_27919
Unspecified,Object_09179
Unspecified,Object_24453
Food,Object_19966
Corrosive,Object_00944
Unspecified,Object_01435
Toxic,Object_05516
Explosive,Object_27695
Corrosive,Object_05082
Food,Object_15951
Explosive,Object_27826
Corrosive,Object_13346
Corrosive,Object_30513
Flammable,Object_16651
Food,Object_07915
Oxidizing,Object_14376
Explosive,Object_00386
Corrosive,Object_26004
Unspecified,Object_03210
Explosive,Object_06402
Fragile,Object_17179
Fragile,Object_30477
Unspecified,Object_18458
Pressurized,Object_21485
Explosive,Object_13374
Flammable,Object_02218
Toxic,Object_14668
Corrosive,Object_14865
Pressurized,Object_14830
Flammable,Object_04059
Flammable,Object_11311
Radioactive,Object_11859
Flammable,Object_07349
Corrosive,Object_21373
Fragile,Object_04861
Explosive,Object_30194
Corrosive,Object_24915
Pressurized,Object_29224
Unspecified,Object_13966
Unspecified,Object_15511
Food,Object_03336
Oxidizing,Object_19486
Toxic,Object_18330
Explosive,Object_27722
Corrosive,Object_04914
Food,Object_27973
Corrosive,Object_30251
Radioactive,Object_06800
Pressurized,Object_25310
Flammable,Object_01199
Fragile,Object_30310
Unspecified,Object_13369
Pressurized,Object_22847
Food,Object_16647
Food,Object_02025
Oxidizing,Object_06887
Radioactive,Object_12162
Radioactive,Object_13432
Radioactive,Object_04240
Radioactive,Object_03940
Fragile,Object_09750
Fragile,Object_21932
Food,Object_22685
Oxidizing,Object_28735
Corrosive,Object_04110
Radioactive,Object_03661
Toxic,Object_27866
Fragile,Object_23444
Unspecified,Object_28413
Oxidizing,Object_25530
Radioactive,Object_19102
Oxidizing,Object_15538
Radioactive,Object_17866
Unspecified,Object_14837
Fragile,Object_26850
Pressurized,Object_04539
Corrosive,Object_24793
Flammable,Object_25487
Radioactive,Object_05283
Unspecified,Object_28641
Toxic,Object_28128
Explosive,Object_08204
Toxic,Object_02661
Toxic,Object_15935
Toxic,Object_04585
Explosive,Object_13642
Toxic,Object_26738
Radioactive,Object_20997
Corrosive,Object_08823
Corrosive,Object_19705
Food,Object_24030
Explosive,Object_25877
Toxic,Object_12110
Food,Object_09999
Corrosive,Object_09682
Unspecified,Object_25450
Pressurized,Object_20138
Corrosive,Object_13824
Fragile,Object_24179
Fragile,Object_02437
Flammable,Object_23678
Toxic,Object_01138
Radioactive,Object_12529
Pressurized,Object_05902
Explosive,Object_06027
Unspecified,Object_29181
Flammable,Object_24231
Fragile,Object_27527
Radioactive,Object_20375
Pressurized,Object_13494
Fragile,Object_24656
Food,Object_11871
Radioactive,Object_06697
Flammable,Object_06032
Oxidizing,Object_01908
Radioactive,Object_25819
Food,Object_27092
Pressurized,Object_01583
Oxidizing,Object_04101
Flammable,Object_15171
Oxidizing,Object_16201
Radioactive,Object_15383
Unspecified,Object_16169
Food,Object_23960
Explosive,Object_11205
Fragile,Object_20115
Oxidizing,Object_02581
Radioactive,Object_25063
Toxic,Object_09362
Unspecified,Object_26954
Unspecified,Object_28713
Toxic,Object_07637
Oxidizing,Object_13537
Flammable,Object_04329
Radioactive,Object_27304
Fragile,Object_05292
Flammable,Object_04800
Pressurized,Object_15156
Unspecified,Object_24620
Food,Object_18110
Food,Object_07833
Unspecified,Object_03812
Oxidizing,Object_09834
Pressurized,Object_13895
Radioactive,Object_05544
Explosive,Object_08816
Radioactive,Object_02946
Radioactive,Object_22163
Unspecified,Object_17896
Explosive,Object_18518
Toxic,Object_20979
Corrosive,Object_16752
Toxic,Object_29104
Radioactive,Object_01376
Corrosive,Object_11349
Pressurized,Object_21046
Food,Object_26862
Flammable,Object_29440
Fragile,Object_04091
Pressurized,Object_16780
Oxidizing,Object_14482
Pressurized,Object_06429
Corrosive,Object_00534
Oxidizing,Object_16094
Fragile,Object_15899
Radioactive,Object_18858
Oxidizing,Object_17411
Flammable,Object_01840
Corrosive,Object_15774
Fragile,Object_19271
Fragile,Object_15305
Explosive,Object_01450
Oxidizing,Object_23492
Toxic,Object_23481
Explosive,Object_25314
Toxic,Object_06152
Fragile,Object_16146
Radioactive,Object_02225
Fragile,Object_22330
Flammable,Object_21626
Oxidizing,Object_03354
Radioactive,Object_17381
Flammable,Object_15357
Corrosive,Object_11295
Oxidizing,Object_03762
Unspecified,Object_30197
Radioactive,Object_12823
Unspecified,Object_21842
Fragile,Object_02938
Explosive,Object_20451
Radioactive,Object_24944
Explosive,Object_05215
Oxidizing,Object_08353
Oxidizing,Object_17346
Flammable,Object_20778
Oxidizing,Object_08395
Radioactive,Object_02852
Corrosive,Object_25225
Explosive,Object_02859
Radioactive,Object_07592
Toxic,Object_06570
Radioactive,Object_02832
Corrosive,Object_01517
Unspecified,Object_27124
Oxidizing,Object_27996
Explosive,Object_24854
Food,Object_02427
Flammable,Object_16213
Food,Object_24954
Pressurized,Object_20744
Pressurized,Object_15834
Flammable,Object_09646
Fragile,Object_18883
Food,Object_17404
Radioactive,Object_24640
Explosive,Object_05580
Flammable,Object_21796
Explosive,Object_01863
Radioactive,Object_20911
Unspecified,Object_00189
Food,Object_17326
Oxidizing,Object_10675
Unspecified,Object_20399
Oxidizing,Object_18037
Unspecified,Object_15272
Fragile,Object_26806
Food,Object_21948
Fragile,Object_25250
Toxic,Object_02140
Explosive,Object_23661
Toxic,Object_03178
Explosive,Object_02585
Corrosive,Object_25895
Unspecified,Object_19586
Unspecified,Object_03676
Food,Object_13147
Explosive,Object_27425
Food,Object_11843
Food,Object_09159
